"CommuteType","Weight"
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",4
"Private passenger",2
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",4
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",3
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",4
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",4
"Private passenger",1
"Private passenger",3
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",3
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",6
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",2
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",4
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",2
"Private passenger",3
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",3
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",3
"Private passenger",2
"Private passenger",1
"Private passenger",3
"Private passenger",2
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",3
"Private passenger",1
"Private passenger",4
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",3
"Private passenger",2
"Private passenger",4
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",5
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",5
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",2
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",1
"Private passenger",1
"Private passenger",2
"Private passenger",1
"Private passenger",3
"Private passenger",1
"Private passenger",1
"Private passenger",1
